──────────────────────────────────────────────────────────────────────────
INFOMED Fetch Details by MED_ID — parallel HTTP-only
──────────────────────────────────────────────────────────────────────────
  filter:       ervp
  parallel:     3
  rateLimitMs:  300
  resume:       false
  limit:        (no limit)
  dryRun:       false

[1] Listagem carregada: 9656 rows
[2] Cross-match com ERP (Outros Medicamentos)...
(node:12380) Warning: SECURITY WARNING: The SSL modes 'prefer', 'require', and 'verify-ca' are treated as aliases for 'verify-full'.
In the next major version (pg-connection-string v3.0.0 and pg v9.0.0), these modes will adopt standard libpq semantics, which have weaker security guarantees.

To prepare for this change:
- If you want the current behavior, explicitly use 'sslmode=verify-full'
- If you want libpq compatibility now, use 'uselibpqcompat=true&sslmode=require'

See https://www.postgresql.org/docs/current/libpq-ssl.html for libpq SSL mode definitions.
(Use `node --trace-warnings ...` to show where the warning was created)
    ERP keys distintas: 2141
    Cross-match listagem: 5242 de 9656 (54.3%)

[3] Lançar 3 workers para 5242 MED_IDs...
  [w1 #1] medId=1401 "Campral" ATC=N07BB03 CNPs=3   (452ms)
  [w3 #2] medId=703384 "Acarbose Berar MG" ATC=A10BF01 CNPs=4   (489ms)
  [w2 #3] medId=703385 "Acarbose Berar MG" ATC=A10BF01 CNPs=4   (522ms)
  [w1 #4] medId=44725 "Acarbose Bluepharma MG" ATC=A10BF01 CNPs=1   (434ms)
  [w2 #5] medId=45428 "Acarbose Farmoz MG" ATC=A10BF01 CNPs=4   (445ms)
  [w3 #6] medId=44724 "Acarbose Bluepharma MG" ATC=A10BF01 CNPs=2   (517ms)
  [w1 #7] medId=45427 "Acarbose Farmoz MG" ATC=A10BF01 CNPs=4   (409ms)
  [w2 #8] medId=45790 "Acarbose Generis MG" ATC=A10BF01 CNPs=1   (348ms)
  [w3 #9] medId=45789 "Acarbose Generis MG" ATC=A10BF01 CNPs=2   (452ms)
  [w1 #10] medId=44267 "Acarbose Mylan MG" ATC=A10BF01 CNPs=3   (527ms)
  [w2 #25] medId=646786 "Acetato de Eslicarbazepina Alt" ATC=N03AF04 CNPs=2   (473ms)
  [w2 #50] medId=3552 "Fluimucil" ATC=R05CB01 CNPs=1   (336ms)
  [w2 #75] medId=677304 "Aciclovir toLife MG" ATC=J05AB01 CNPs=1   (1097ms)
  [w2 #100] medId=585222 "Trinomia" ATC=C10BX06 CNPs=3   (657ms)
  [w3 #125] medId=600507 "Ácido alendrónico + Colecalcif" ATC=M05BB03 CNPs=2   (396ms)
